,genes
399,AKR7A3
400,AKT1
401,AKT1S1
402,AKT2
403,AKT3
404,AKTIP
405,ALAD
406,ALAS1
407,ALAS2
408,ALB
409,ALCAM
410,ALDH16A1
411,ALDH18A1
412,ALDH1A1
413,ALDH1A2
414,ALDH1A3
415,ALDH1B1
416,ALDH1L1
417,ALDH1L2
418,ALDH2
419,ALDH3A1
420,ALDH3A2
421,ALDH3B2
422,ALDH5A1
423,ALDH6A1
424,ALDH7A1
425,ALDH8A1
426,ALDH9A1
427,ALDOA
428,ALDOB
429,ALG1
430,ALG12
431,ALG13
432,ALG14
433,ALG2
434,ALG3
435,ALG5
436,ALG6
437,ALG8
438,ALG9
439,ALK
440,ALKBH1
441,ALKBH2
442,ALKBH3
443,ALKBH4
444,ALKBH5
445,ALKBH7
446,ALKBH8
447,ALLC
448,ALMS1
449,ALOX12
450,ALOX12B
451,ALOX15
452,ALOX15B
453,ALOX5
454,ALOX5AP
455,ALOXE3
456,ALPI
457,ALPK1
458,ALPK2
459,ALPK3
460,ALPL
461,ALPP
462,ALS2
463,ALS2CL
464,ALX1
465,ALX3
466,ALX4
467,ALYREF
468,AMBN
469,AMBP
470,AMBRA1
471,AMD1
472,AMDHD1
473,AMDHD2
474,AMFR
475,AMH
476,AMHR2
477,AMIGO1
478,AMIGO2
479,AMMECR1
480,AMMECR1L
481,AMN
482,AMOT
483,AMOTL1
484,AMOTL2
485,AMPD1
486,AMPD2
487,AMPD3
488,AMPH
489,AMT
490,AMZ1
491,AMZ2
492,ANAPC10
493,ANAPC13
494,ANAPC16
495,ANAPC2
496,ANAPC4
497,ANAPC5
498,ANAPC7
499,ANGEL1
500,ANGEL2
501,ANGPT1
502,ANGPT2
503,ANGPT4
504,ANGPTL1
505,ANGPTL2
506,ANGPTL3
507,ANGPTL4
508,ANGPTL6
509,ANGPTL7
510,ANK1
511,ANK2
512,ANK3
513,ANKAR
514,ANKDD1A
515,ANKFN1
516,ANKFY1
517,ANKH
518,ANKIB1
519,ANKLE1
520,ANKMY1
521,ANKMY2
522,ANKRA2
523,ANKRD1
524,ANKRD10
525,ANKRD11
526,ANKRD12
527,ANKRD13A
528,ANKRD13C
529,ANKRD13D
530,ANKRD16
531,ANKRD17
532,ANKRD18A
533,ANKRD2
534,ANKRD22
535,ANKRD24
536,ANKRD26
537,ANKRD27
538,ANKRD28
539,ANKRD29
540,ANKRD30A
541,ANKRD33
542,ANKRD35
543,ANKRD36
544,ANKRD37
545,ANKRD40
546,ANKRD42
547,ANKRD44
548,ANKRD45
549,ANKRD46
550,ANKRD49
551,ANKRD50
552,ANKRD52
553,ANKRD53
554,ANKRD54
555,ANKRD55
556,ANKRD6
557,ANKRD65
558,ANKRD7
559,ANKRD9
560,ANKS1A
561,ANKS1B
562,ANKS3
563,ANKS4B
564,ANKS6
565,ANKUB1
566,ANKZF1
567,ANLN
568,ANO1
569,ANO10
570,ANO2
571,ANO3
572,ANO4
573,ANO5
574,ANO6
575,ANO7
576,ANO8
577,ANO9
578,ANP32A
579,ANP32B
580,ANP32E
581,ANPEP
582,ANTXR1
583,ANTXR2
584,ANXA1
585,ANXA10
586,ANXA11
587,ANXA13
588,ANXA3
589,ANXA4
590,ANXA5
591,ANXA6
592,ANXA7
593,ANXA9
594,AOAH
595,AOC2
596,AOC3
597,AOX1
598,AP1AR
599,AP1B1
600,AP1G1
601,AP1G2
602,AP1M1
603,AP1M2
604,AP1S1
605,AP1S2
606,AP1S3
607,AP2A1
608,AP2A2
609,AP2B1
610,AP2S1
611,AP3B1
612,AP3B2
613,AP3D1
614,AP3M1
615,AP3M2
616,AP3S1
617,AP3S2
618,AP4B1
619,AP4E1
620,AP4M1
621,AP4S1
622,AP5B1
623,AP5S1
624,APAF1
625,APBA1
626,APBA2
627,APBA3
628,APBB1
629,APBB1IP
630,APBB2
631,APBB3
632,APC2
633,APCDD1
634,APCDD1L
635,APCS
636,APEH
637,APEX1
638,APEX2
639,APH1A
640,APH1B
641,API5
642,APIP
643,APLF
644,APLN
645,APLNR
646,APLP1
647,APLP2
648,APOA1
649,APOA2
650,APOA4
651,APOA5
652,APOB
653,APOBEC1
654,APOBEC2
655,APOBEC3A
656,APOBEC3B
657,APOBEC3D
658,APOBEC3G
659,APOBEC4
660,APOBR
661,APOC1
662,APOC3
663,APOD
664,APOE
665,APOF
666,APOH
667,APOL1
668,APOL2
669,APOL3
670,APOL4
671,APOL5
672,APOL6
673,APOM
674,APOOL
675,APP
676,APPBP2
677,APPL1
678,APPL2
679,APRT
680,APTX
681,AQP1
682,AQP10
683,AQP11
684,AQP2
685,AQP3
686,AQP4
687,AQP5
688,AQP6
689,AQP7
690,AQP8
691,AQP9
692,AQR
693,AR
694,ARAF
695,ARAP1
696,ARAP3
697,ARC
698,ARCN1
699,ARF1
700,ARF4
701,ARF5
702,ARF6
703,ARFGAP1
704,ARFGAP2
705,ARFGAP3
706,ARFGEF1
707,ARFGEF2
708,ARFIP1
709,ARFIP2
710,ARFRP1
711,ARG1
712,ARG2
713,ARGLU1
714,ARHGAP1
715,ARHGAP10
716,ARHGAP11A
717,ARHGAP12
718,ARHGAP15
719,ARHGAP17
720,ARHGAP18
721,ARHGAP19
722,ARHGAP20
723,ARHGAP21
724,ARHGAP22
725,ARHGAP24
726,ARHGAP25
727,ARHGAP26
728,ARHGAP27
729,ARHGAP28
730,ARHGAP29
731,ARHGAP30
732,ARHGAP31
733,ARHGAP32
734,ARHGAP33
735,ARHGAP35
736,ARHGAP36
737,ARHGAP39
738,ARHGAP42
739,ARHGAP44
740,ARHGAP5
741,ARHGAP6
742,ARHGAP9
743,ARHGDIA
744,ARHGDIB
745,ARHGDIG
746,ARHGEF1
747,ARHGEF10
748,ARHGEF10L
749,ARHGEF11
750,ARHGEF12
751,ARHGEF15
752,ARHGEF16
753,ARHGEF17
754,ARHGEF18
755,ARHGEF19
756,ARHGEF2
757,ARHGEF25
758,ARHGEF26
759,ARHGEF3
760,ARHGEF37
761,ARHGEF38
762,ARHGEF4
763,ARHGEF40
764,ARHGEF5
765,ARHGEF6
766,ARHGEF7
767,ARHGEF9
768,ARID1A
769,ARID1B
770,ARID2
771,ARID3A
772,ARID3B
773,ARID4A
774,ARID4B
775,ARID5A
776,ARID5B
777,ARIH1
778,ARIH2
779,ARL1
780,ARL10
781,ARL11
782,ARL13B
783,ARL14
784,ARL15
785,ARL16
786,ARL2BP
787,ARL3
788,ARL4A
789,ARL4C
790,ARL4D
791,ARL5A
792,ARL5B
793,ARL5C
794,ARL6
795,ARL6IP5
796,ARL6IP6
797,ARL8A
798,ARL8B
799,ARL9
800,ARMC1
801,ARMC10
802,ARMC2
803,ARMC3
804,ARMC4
805,ARMC5
806,ARMC6
807,ARMC7
808,ARMC8
809,ARMC9
810,ARMCX1
811,ARMCX2
812,ARMCX3
813,ARMCX4
814,ARMCX5
815,ARNT
816,ARNT2
817,ARNTL
818,ARNTL2
819,ARPC1A
820,ARPC1B
821,ARPC2
822,ARPC5
823,ARPC5L
824,ARPP19
825,ARPP21
826,ARR3
827,ARRB1
828,ARRB2
829,ARRDC1
830,ARRDC2
831,ARRDC3
832,ARRDC4
833,ARSA
834,ARSB
835,ARSD
836,ARSF
837,ARSG
838,ARSI
839,ARSJ
840,ARSK
841,ART1
842,ART3
843,ART4
844,ART5
845,ARTN
846,ARV1
847,ARVCF
848,ARX
849,AS3MT
850,ASAH1
851,ASAP1
852,ASAP2
853,ASAP3
854,ASB1
855,ASB10
856,ASB11
857,ASB12
858,ASB13
859,ASB14
860,ASB15
861,ASB16
862,ASB17
863,ASB2
864,ASB3
865,ASB4
866,ASB5
867,ASB6
868,ASB7
869,ASB8
870,ASB9
871,ASCC1
872,ASCC2
873,ASCC3
874,ASCL1
875,ASCL2
876,ASCL3
877,ASF1A
878,ASF1B
879,ASGR1
880,ASGR2
881,ASH1L
882,ASH2L
883,ASIC3
884,ASIC4
885,ASIC5
886,ASIP
887,ASL
