,genes
1662,CCDC70
1663,CCDC71
1664,CCDC74B
1665,CCDC77
1666,CCDC78
1667,CCDC8
1668,CCDC80
1669,CCDC81
1670,CCDC82
1671,CCDC85A
1672,CCDC85B
1673,CCDC85C
1674,CCDC86
1675,CCDC87
1676,CCDC88A
1677,CCDC88B
1678,CCDC88C
1679,CCDC89
1680,CCDC9
1681,CCDC90B
1682,CCDC91
1683,CCDC92
1684,CCDC93
1685,CCDC97
1686,CCHCR1
1687,CCIN
1688,CCK
1689,CCKAR
1690,CCKBR
1691,CCL1
1692,CCL11
1693,CCL13
1694,CCL17
1695,CCL19
1696,CCL2
1697,CCL20
1698,CCL21
1699,CCL22
1700,CCL24
1701,CCL25
1702,CCL26
1703,CCL28
1704,CCL7
1705,CCL8
1706,CCM2
1707,CCNA1
1708,CCNA2
1709,CCNB1
1710,CCNB1IP1
1711,CCNB3
1712,CCNC
1713,CCND1
1714,CCND2
1715,CCND3
1716,CCNDBP1
1717,CCNE1
1718,CCNE2
1719,CCNF
1720,CCNG1
1721,CCNG2
1722,CCNH
1723,CCNI
1724,CCNJ
1725,CCNJL
1726,CCNK
1727,CCNL1
1728,CCNL2
1729,CCNO
1730,CCNT1
1731,CCNT2
1732,CCNY
1733,CCP110
1734,CCR1
1735,CCR10
1736,CCR2
1737,CCR3
1738,CCR4
1739,CCR5
1740,CCR6
1741,CCR7
1742,CCR8
1743,CCR9
1744,CCRL2
1745,CCS
1746,CCT2
1747,CCT3
1748,CCT4
1749,CCT5
1750,CCT6A
1751,CCT6B
1752,CCT7
1753,CCT8
1754,CD101
1755,CD109
1756,CD14
1757,CD151
1758,CD160
1759,CD163
1760,CD163L1
1761,CD164
1762,CD177
1763,CD180
1764,CD19
1765,CD1A
1766,CD1B
1767,CD1C
1768,CD1D
1769,CD1E
1770,CD2
1771,CD200
1772,CD207
1773,CD209
1774,CD22
1775,CD226
1776,CD244
1777,CD247
1778,CD248
1779,CD27
1780,CD274
1781,CD276
1782,CD28
1783,CD2AP
1784,CD2BP2
1785,CD300A
1786,CD300C
1787,CD300LB
1788,CD300LF
1789,CD300LG
1790,CD302
1791,CD320
1792,CD33
1793,CD34
1794,CD36
1795,CD37
1796,CD38
1797,CD3D
1798,CD3E
1799,CD3G
1800,CD4
1801,CD40
1802,CD40LG
1803,CD44
1804,CD46
1805,CD47
1806,CD48
1807,CD5
1808,CD52
1809,CD53
1810,CD55
1811,CD59
1812,CD5L
1813,CD6
1814,CD63
1815,CD68
1816,CD69
1817,CD7
1818,CD70
1819,CD72
1820,CD74
1821,CD79A
1822,CD79B
1823,CD80
1824,CD81
1825,CD82
1826,CD83
1827,CD84
1828,CD86
1829,CD8A
1830,CD8B
1831,CD9
1832,CD93
1833,CD96
1834,CD99
1835,CD99L2
1836,CDA
1837,CDADC1
1838,CDAN1
1839,CDC123
1840,CDC14A
1841,CDC14B
1842,CDC16
1843,CDC20
1844,CDC20B
1845,CDC23
1846,CDC25A
1847,CDC25B
1848,CDC25C
1849,CDC27
1850,CDC34
1851,CDC37
1852,CDC37L1
1853,CDC40
1854,CDC42
1855,CDC42BPA
1856,CDC42BPB
1857,CDC42BPG
1858,CDC42EP1
1859,CDC42EP2
1860,CDC42EP3
1861,CDC42EP4
1862,CDC42EP5
1863,CDC42SE1
1864,CDC42SE2
1865,CDC5L
1866,CDC6
1867,CDC7
1868,CDC73
1869,CDCA2
1870,CDCA4
1871,CDCA5
1872,CDCA7
1873,CDCA7L
1874,CDCA8
1875,CDCP1
1876,CDH1
1877,CDH10
1878,CDH11
1879,CDH12
1880,CDH13
1881,CDH15
1882,CDH16
1883,CDH17
1884,CDH18
1885,CDH19
1886,CDH2
1887,CDH20
1888,CDH22
1889,CDH23
1890,CDH24
1891,CDH3
1892,CDH4
1893,CDH5
1894,CDH6
1895,CDH7
1896,CDH8
1897,CDH9
1898,CDHR1
1899,CDHR2
1900,CDHR3
1901,CDHR5
1902,CDIPT
1903,CDK1
1904,CDK10
1905,CDK12
1906,CDK13
1907,CDK14
1908,CDK15
1909,CDK16
1910,CDK17
1911,CDK19
1912,CDK2
1913,CDK20
1914,CDK2AP2
1915,CDK4
1916,CDK5
1917,CDK5R1
1918,CDK5R2
1919,CDK5RAP1
1920,CDK5RAP2
1921,CDK5RAP3
1922,CDK6
1923,CDK7
1924,CDK8
1925,CDK9
1926,CDKAL1
1927,CDKL1
1928,CDKL2
1929,CDKL3
1930,CDKL5
1931,CDKN1B
1932,CDKN1C
1933,CDKN2AIP
1934,CDKN2AIPNL
1935,CDKN2B
1936,CDKN2C
1937,CDKN2D
1938,CDKN3
1939,CDNF
1940,CDO1
1941,CDON
1942,CDR1
1943,CDR2
1944,CDR2L
1945,CDS1
1946,CDS2
1947,CDSN
1948,CDT1
1949,CDV3
1950,CDX1
1951,CDX2
1952,CDX4
1953,CDYL
1954,CDYL2
1955,CEACAM1
1956,CEACAM19
1957,CEACAM21
1958,CEACAM3
1959,CEACAM4
1960,CEACAM5
1961,CEACAM6
1962,CEACAM7
1963,CEACAM8
1964,CEBPB
1965,CEBPD
1966,CEBPE
1967,CEBPG
1968,CEBPZ
1969,CECR2
1970,CEL
1971,CELA1
1972,CELA2B
1973,CELA3A
1974,CELF1
1975,CELF2
1976,CELF3
1977,CELF4
1978,CELF5
1979,CELSR1
1980,CELSR2
1981,CELSR3
1982,CEMP1
1983,CEND1
1984,CENPA
1985,CENPB
1986,CENPBD1
1987,CENPE
1988,CENPF
1989,CENPH
1990,CENPI
1991,CENPJ
1992,CENPK
1993,CENPM
1994,CENPN
1995,CENPO
1996,CENPQ
1997,CENPT
1998,CENPV
1999,CEP104
2000,CEP120
2001,CEP128
2002,CEP135
2003,CEP152
2004,CEP164
2005,CEP170
2006,CEP19
2007,CEP192
2008,CEP250
2009,CEP290
2010,CEP350
2011,CEP41
2012,CEP44
2013,CEP55
2014,CEP57
2015,CEP57L1
2016,CEP63
2017,CEP68
2018,CEP70
2019,CEP72
2020,CEP76
2021,CEP78
2022,CEP85
2023,CEP85L
2024,CEP89
2025,CEP95
2026,CEP97
2027,CEPT1
2028,CER1
2029,CERCAM
2030,CERK
2031,CERS2
2032,CERS3
2033,CERS4
2034,CERS5
2035,CERS6
2036,CES2
2037,CES3
2038,CES4A
2039,CES5A
2040,CETN1
2041,CETN2
2042,CETN3
2043,CETP
2044,CFD
2045,CFDP1
2046,CFH
2047,CFHR2
2048,CFHR3
2049,CFHR5
2050,CFI
2051,CFL1
2052,CFL2
2053,CFLAR
2054,CFP
2055,CFTR
2056,CGA
2057,CGGBP1
2058,CGN
2059,CGNL1
2060,CGRRF1
2061,CH25H
2062,CHAC1
2063,CHAC2
2064,CHAD
2065,CHADL
2066,CHAF1A
2067,CHAF1B
2068,CHAMP1
2069,CHAT
2070,CHCHD1
2071,CHCHD10
2072,CHCHD2
2073,CHCHD3
2074,CHCHD4
2075,CHCHD5
2076,CHCHD6
2077,CHCHD7
2078,CHD1
2079,CHD1L
2080,CHD2
2081,CHD3
2082,CHD4
2083,CHD5
2084,CHD6
2085,CHD7
2086,CHD8
2087,CHD9
2088,CHDH
2089,CHEK1
2090,CHGA
2091,CHGB
2092,CHI3L1
2093,CHI3L2
2094,CHIA
2095,CHIC1
2096,CHIC2
2097,CHIT1
2098,CHKA
2099,CHL1
2100,CHM
2101,CHMP1A
2102,CHMP2A
2103,CHMP2B
2104,CHMP4B
2105,CHMP4C
2106,CHMP5
2107,CHMP6
2108,CHMP7
2109,CHN1
2110,CHN2
2111,CHODL
2112,CHORDC1
2113,CHP2
2114,CHPF
2115,CHPF2
2116,CHPT1
2117,CHRAC1
2118,CHRDL1
2119,CHRM1
2120,CHRM2
2121,CHRM3
2122,CHRM4
2123,CHRM5
2124,CHRNA1
2125,CHRNA10
2126,CHRNA2
2127,CHRNA3
2128,CHRNA4
2129,CHRNA5
2130,CHRNA6
2131,CHRNA9
2132,CHRNB1
2133,CHRNB2
2134,CHRNB3
2135,CHRNB4
2136,CHRND
2137,CHRNE
2138,CHRNG
2139,CHST1
2140,CHST10
2141,CHST11
2142,CHST12
2143,CHST13
2144,CHST14
2145,CHST15
2146,CHST2
2147,CHST3
2148,CHST4
2149,CHST6
2150,CHST7
2151,CHST8
2152,CHST9
2153,CHSY1
2154,CHSY3
2155,CHTF18
2156,CHTF8
2157,CHTOP
2158,CHUK
2159,CIAO1
2160,CIAPIN1
2161,CIB1
2162,CIB2
2163,CIB3
2164,CIB4
2165,CIC
2166,CIDEA
2167,CIDEB
2168,CIDEC
2169,CIITA
2170,CILP
2171,CILP2
2172,CINP
2173,CIR1
2174,CIRBP
2175,CISD1
2176,CISD2
2177,CISH
2178,CIT
2179,CITED1
2180,CITED2
2181,CITED4
2182,CIZ1
2183,CKAP2
2184,CKAP2L
2185,CKAP4
2186,CKAP5
2187,CKB
2188,CKM
2189,CKMT2
2190,CKS2
2191,CLASP1
2192,CLASP2
2193,CLASRP
2194,CLC
2195,CLCA1
2196,CLCA2
2197,CLCA4
2198,CLCN1
2199,CLCN2
2200,CLCN3
2201,CLCN4
2202,CLCN5
2203,CLCN6
2204,CLCN7
2205,CLCNKB
2206,CLDN1
2207,CLDN10
2208,CLDN11
2209,CLDN12
2210,CLDN14
2211,CLDN15
2212,CLDN16
2213,CLDN17
2214,CLDN18
2215,CLDN19
2216,CLDN2
2217,CLDN20
2218,CLDN3
2219,CLDN4
2220,CLDN5
2221,CLDN6
2222,CLDN8
2223,CLDN9
2224,CLDND1
2225,CLDND2
2226,CLEC10A
2227,CLEC11A
2228,CLEC12A
2229,CLEC12B
2230,CLEC14A
2231,CLEC16A
2232,CLEC1A
2233,CLEC1B
2234,CLEC2B
2235,CLEC2L
2236,CLEC3A
2237,CLEC4C
2238,CLEC4D
2239,CLEC4E
2240,CLEC4F
2241,CLEC4G
2242,CLEC4M
2243,CLEC5A
2244,CLEC7A
2245,CLECL1
2246,CLGN
2247,CLIC1
2248,CLIC2
2249,CLIC3
2250,CLIC4
2251,CLIC5
2252,CLIC6
2253,CLINT1
2254,CLIP1
2255,CLIP2
2256,CLIP3
2257,CLIP4
2258,CLK2
2259,CLK3
2260,CLK4
2261,CLMN
2262,CLMP
2263,CLN5
2264,CLN8
2265,CLNK
2266,CLNS1A
2267,CLOCK
2268,CLP1
2269,CLPB
2270,CLPP
2271,CLPS
2272,CLPTM1
2273,CLPTM1L
2274,CLPX
2275,CLRN3
2276,CLSPN
2277,CLSTN1
2278,CLSTN2
2279,CLSTN3
2280,CLTA
2281,CLTB
2282,CLTC
2283,CLTCL1
2284,CLU
2285,CLUAP1
2286,CLUL1
2287,CLVS1
2288,CLVS2
2289,CLYBL
2290,CMA1
2291,CMAS
2292,CMBL
2293,CMC1
2294,CMC2
2295,CMIP
2296,CMKLR1
2297,CMPK1
2298,CMPK2
2299,CMTM2
2300,CMTM3
2301,CMTM4
2302,CMTM5
2303,CMTM6
2304,CMTM7
2305,CMTM8
2306,CMYA5
2307,CNBD1
2308,CNBP
2309,CNDP1
2310,CNDP2
2311,CNFN
2312,CNGA1
2313,CNGA3
2314,CNGA4
2315,CNGB1
2316,CNGB3
2317,CNIH2
2318,CNIH3
2319,CNIH4
2320,CNKSR1
2321,CNKSR2
2322,CNKSR3
2323,CNN1
2324,CNN2
2325,CNN3
2326,CNNM1
2327,CNNM2
2328,CNNM3
2329,CNNM4
2330,CNOT1
2331,CNOT10
2332,CNOT2
2333,CNOT3
2334,CNOT4
2335,CNOT6
2336,CNOT6L
2337,CNOT7
2338,CNOT8
2339,CNP
2340,CNPPD1
2341,CNPY1
2342,CNPY3
2343,CNPY4
2344,CNR1
2345,CNR2
2346,CNRIP1
2347,CNST
2348,CNTD1
2349,CNTF
2350,CNTFR
2351,CNTLN
2352,CNTN1
2353,CNTN2
2354,CNTN3
2355,CNTN4
2356,CNTN5
2357,CNTN6
2358,CNTNAP1
2359,CNTNAP2
2360,CNTNAP5
2361,CNTRL
2362,CNTROB
2363,COA5
2364,COASY
2365,COBL
2366,COBLL1
2367,COCH
2368,COG1
2369,COG2
2370,COG3
2371,COG4
2372,COG5
2373,COG6
2374,COG7
2375,COIL
2376,COL10A1
2377,COL11A1
2378,COL12A1
2379,COL13A1
2380,COL14A1
2381,COL15A1
2382,COL16A1
2383,COL17A1
2384,COL18A1
2385,COL19A1
2386,COL1A1
2387,COL1A2
2388,COL20A1
2389,COL21A1
2390,COL22A1
2391,COL23A1
2392,COL24A1
2393,COL25A1
2394,COL27A1
2395,COL28A1
2396,COL2A1
2397,COL3A1
2398,COL4A1
2399,COL4A2
2400,COL4A3
2401,COL4A4
2402,COL4A5
2403,COL4A6
2404,COL5A1
2405,COL5A2
2406,COL5A3
2407,COL6A1
2408,COL6A2
2409,COL6A3
2410,COL6A5
2411,COL6A6
2412,COL7A1
2413,COL8A1
2414,COL8A2
2415,COL9A1
2416,COL9A2
2417,COL9A3
2418,COLEC10
2419,COLEC11
2420,COLEC12
2421,COLQ
2422,COMMD1
2423,COMMD10
2424,COMMD2
2425,COMMD4
2426,COMMD5
2427,COMMD7
2428,COMMD8
2429,COMMD9
2430,COMP
2431,COMT
2432,COMTD1
2433,COPA
2434,COPB1
2435,COPB2
2436,COPE
2437,COPG1
2438,COPG2
2439,COPS2
2440,COPS3
2441,COPS4
2442,COPS6
2443,COPS7A
2444,COPS7B
2445,COPS8
2446,COPZ1
2447,COPZ2
2448,COQ10A
2449,COQ10B
2450,COQ2
2451,COQ3
2452,COQ4
2453,COQ5
2454,COQ6
2455,COQ7
2456,COQ9
2457,CORIN
2458,CORO1A
2459,CORO1B
2460,CORO1C
2461,CORO2A
2462,CORO2B
2463,CORO6
2464,COTL1
2465,COX10
2466,COX11
2467,COX15
2468,COX18
2469,COX19
2470,COX20
2471,COX4I1
2472,COX4I2
2473,COX5A
2474,COX5B
2475,COX6A2
2476,COX6B1
2477,COX6B2
2478,COX6C
2479,COX7A1
2480,COX7A2
2481,COX7A2L
2482,COX7B
2483,COX7B2
2484,CP
2485,CPA1
2486,CPA2
2487,CPA3
2488,CPA4
2489,CPA5
2490,CPA6
2491,CPAMD8
2492,CPB1
2493,CPB2
2494,CPD
2495,CPE
2496,CPEB2
2497,CPEB3
2498,CPEB4
2499,CPLX1
2500,CPLX2
2501,CPM
2502,CPN1
2503,CPN2
2504,CPNE1
2505,CPNE2
2506,CPNE3
2507,CPNE4
2508,CPNE5
2509,CPNE6
2510,CPNE7
2511,CPNE8
2512,CPNE9
2513,CPO
2514,CPOX
2515,CPPED1
2516,CPQ
2517,CPS1
2518,CPSF1
2519,CPSF2
2520,CPSF3
2521,CPSF4
2522,CPSF6
2523,CPSF7
2524,CPT1A
2525,CPT1C
2526,CPT2
2527,CPVL
2528,CPXCR1
2529,CPXM1
2530,CPXM2
2531,CR1
2532,CR1L
2533,CRABP1
2534,CRABP2
2535,CRADD
2536,CRAT
2537,CRB1
2538,CRB2
2539,CRBN
2540,CRCP
2541,CRCT1
2542,CREB1
2543,CREB3L1
2544,CREB3L2
2545,CREB3L3
2546,CREB3L4
2547,CREB5
2548,CREBBP
2549,CREBL2
2550,CREBZF
2551,CREG1
2552,CREG2
2553,CRH
2554,CRHBP
2555,CRHR1
2556,CRHR2
2557,CRIM1
2558,CRIP2
2559,CRIP3
2560,CRIPT
2561,CRISP1
2562,CRISP2
2563,CRISP3
2564,CRISPLD1
2565,CRISPLD2
2566,CRK
2567,CRKL
2568,CRLF1
2569,CRLF2
2570,CRLF3
2571,CRLS1
2572,CRMP1
2573,CRNKL1
2574,CRNN
2575,CROCC
2576,CROT
2577,CRP
2578,CRTAC1
2579,CRTAM
2580,CRTAP
2581,CRTC1
2582,CRTC2
2583,CRTC3
2584,CRX
2585,CRY1
2586,CRY2
2587,CRYAA
2588,CRYAB
2589,CRYBA1
2590,CRYBA2
2591,CRYBA4
2592,CRYBB1
2593,CRYBB2
2594,CRYBB3
2595,CRYBG3
2596,CRYGA
2597,CRYGB
2598,CRYGC
2599,CRYGD
2600,CRYGN
2601,CRYGS
2602,CRYL1
2603,CRYM
2604,CRYZ
2605,CS
2606,CSAD
2607,CSDC2
2608,CSDE1
2609,CSE1L
2610,CSF1
2611,CSF1R
2612,CSF2
2613,CSF2RB
2614,CSF3
2615,CSF3R
2616,CSGALNACT1
2617,CSGALNACT2
2618,CSH1
2619,CSHL1
2620,CSK
2621,CSMD1
2622,CSMD2
2623,CSMD3
2624,CSN1S1
2625,CSN2
2626,CSN3
2627,CSNK1D
2628,CSNK1E
2629,CSNK1G1
2630,CSNK1G2
2631,CSNK1G3
2632,CSNK2A2
2633,CSPG4
2634,CSPG5
2635,CSPP1
2636,CSRNP1
2637,CSRNP2
2638,CSRNP3
2639,CSRP1
2640,CSRP2
2641,CSRP3
2642,CST1
2643,CST11
2644,CST2
2645,CST3
2646,CST4
2647,CST5
2648,CST6
2649,CST7
2650,CST8
2651,CST9
2652,CST9L
2653,CSTA
2654,CSTB
2655,CSTF1
2656,CSTF2
2657,CSTF2T
2658,CSTF3
2659,CSTL1
2660,CTAG2
2661,CTBP1
2662,CTBP2
2663,CTBS
2664,CTC1
2665,CTCF
2666,CTCFL
2667,CTDP1
2668,CTDSP1
2669,CTDSP2
2670,CTDSPL
2671,CTDSPL2
2672,CTF1
2673,CTH
2674,CTHRC1
2675,CTIF
2676,CTLA4
2677,CTNNA1
2678,CTNNA3
2679,CTNNAL1
2680,CTNNB1
2681,CTNNBIP1
2682,CTNNBL1
2683,CTNND1
2684,CTNND2
2685,CTNS
2686,CTPS2
2687,CTR9
2688,CTRB2
2689,CTRC
2690,CTSA
2691,CTSB
2692,CTSC
2693,CTSE
2694,CTSF
2695,CTSG
2696,CTSH
2697,CTSK
2698,CTSO
2699,CTSS
2700,CTSW
2701,CTSZ
2702,CTTNBP2
2703,CTTNBP2NL
2704,CTU2
2705,CTXN1
2706,CTXN3
2707,CUBN
2708,CUEDC1
2709,CUEDC2
2710,CUL1
2711,CUL2
2712,CUL3
2713,CUL4A
2714,CUL4B
2715,CUL5
2716,CUL7
2717,CUL9
2718,CUTA
2719,CUTC
2720,CUX1
2721,CUX2
2722,CUZD1
2723,CWC22
2724,CWC27
2725,CWF19L1
2726,CWF19L2
2727,CWH43
2728,CX3CL1
2729,CX3CR1
2730,CXADR
2731,CXCL1
2732,CXCL10
2733,CXCL11
2734,CXCL12
2735,CXCL13
2736,CXCL14
2737,CXCL16
2738,CXCL17
2739,CXCL2
2740,CXCL3
2741,CXCL5
2742,CXCL6
2743,CXCL9
2744,CXCR1
2745,CXCR2
2746,CXCR3
2747,CXCR4
2748,CXCR5
2749,CXCR6
2750,CXXC1
2751,CXXC4
2752,CXXC5
2753,CYB561
2754,CYB561D2
2755,CYB5A
2756,CYB5B
2757,CYB5D1
2758,CYB5D2
2759,CYB5R1
2760,CYB5R2
2761,CYB5R3
2762,CYB5R4
2763,CYBA
2764,CYBRD1
2765,CYC1
2766,CYFIP2
2767,CYGB
2768,CYHR1
2769,CYLC1
2770,CYLC2
2771,CYLD
2772,CYP11A1
2773,CYP11B1
2774,CYP11B2
2775,CYP17A1
2776,CYP19A1
2777,CYP1A1
2778,CYP1A2
2779,CYP1B1
2780,CYP20A1
2781,CYP24A1
2782,CYP26A1
2783,CYP26B1
2784,CYP27A1
2785,CYP27B1
2786,CYP27C1
2787,CYP2A13
2788,CYP2B6
2789,CYP2C19
2790,CYP2C8
2791,CYP2C9
2792,CYP2D6
2793,CYP2E1
2794,CYP2F1
2795,CYP2J2
2796,CYP2R1
2797,CYP2S1
2798,CYP2U1
2799,CYP2W1
2800,CYP39A1
2801,CYP3A4
2802,CYP3A43
2803,CYP3A5
2804,CYP3A7
2805,CYP46A1
2806,CYP4A11
2807,CYP4B1
2808,CYP4F11
2809,CYP4F12
2810,CYP4F2
2811,CYP4F22
2812,CYP4F3
2813,CYP4X1
2814,CYP7A1
2815,CYP7B1
2816,CYP8B1
2817,CYS1
2818,CYSLTR1
2819,CYSLTR2
2820,CYSTM1
2821,CYTH1
2822,CYTH2
2823,CYTH3
2824,CYTH4
2825,CYTIP
2826,CYTL1
2827,CYYR1
2828,D2HGDH
2829,DAAM1
2830,DAAM2
2831,DAB2IP
2832,DACH2
2833,DACT1
2834,DACT2
2835,DACT3
2836,DAD1
2837,DAG1
2838,DAGLA
2839,DAGLB
2840,DALRD3
2841,DAND5
2842,DAO
2843,DAOA
2844,DAP
2845,DAPK1
2846,DAPK2
2847,DAPK3
2848,DAPL1
2849,DAPP1
2850,DARS2
2851,DAXX
2852,DAZAP1
2853,DAZAP2
2854,DAZL
2855,DBF4
2856,DBF4B
2857,DBH
2858,DBI
2859,DBN1
2860,DBNDD1
2861,DBNL
2862,DBP
2863,DBR1
2864,DBT
2865,DCAF10
2866,DCAF12
2867,DCAF12L1
2868,DCAF12L2
2869,DCAF13
2870,DCAF15
2871,DCAF16
2872,DCAF17
2873,DCAF4
2874,DCAF4L1
2875,DCAF4L2
2876,DCAF5
2877,DCAF6
2878,DCAF7
2879,DCAF8
2880,DCAKD
2881,DCBLD1
2882,DCBLD2
2883,DCC
2884,DCD
2885,DCDC2
2886,DCDC2B
2887,DCHS1
2888,DCHS2
2889,DCK
2890,DCLK1
2891,DCLK2
2892,DCLK3
2893,DCLRE1A
2894,DCLRE1B
2895,DCLRE1C
2896,DCN
2897,DCP1B
2898,DCP2
2899,DCPS
2900,DCST1
2901,DCST2
2902,DCTD
2903,DCTN2
2904,DCTN3
2905,DCTN4
2906,DCTN5
2907,DCTN6
2908,DCTPP1
2909,DCUN1D1
2910,DCUN1D2
2911,DCUN1D4
2912,DCUN1D5
2913,DCX
2914,DCXR
2915,DDA1
2916,DDAH1
2917,DDAH2
2918,DDB1
2919,DDB2
2920,DDC
2921,DDHD1
2922,DDHD2
2923,DDI1
2924,DDI2
2925,DDIT3
2926,DDIT4
2927,DDIT4L
2928,DDN
2929,DDO
2930,DDOST
2931,DDR1
2932,DDR2
2933,DDRGK1
2934,DDT
2935,DDX1
2936,DDX10
2937,DDX17
2938,DDX18
2939,DDX19A
2940,DDX20
2941,DDX21
2942,DDX23
2943,DDX24
2944,DDX25
2945,DDX27
2946,DDX28
2947,DDX31
2948,DDX39A
2949,DDX3X
2950,DDX3Y
2951,DDX4
2952,DDX41
2953,DDX42
2954,DDX43
2955,DDX46
2956,DDX49
2957,DDX5
2958,DDX50
2959,DDX51
2960,DDX53
2961,DDX54
2962,DDX55
2963,DDX56
2964,DDX58
2965,DDX59
2966,DDX6
2967,DDX60
2968,DDX60L
2969,DEAF1
2970,DECR1
2971,DECR2
2972,DEDD
2973,DEDD2
2974,DEF6
2975,DEF8
2976,DEFA4
2977,DEFA5
2978,DEFA6
2979,DEFB1
2980,DEFB114
2981,DEFB118
2982,DEFB121
2983,DEFB123
2984,DEFB124
2985,DEFB125
2986,DEFB126
2987,DEFB127
2988,DEFB129
2989,DEFB132
2990,DEGS1
2991,DEGS2
2992,DEK
2993,DENND1A
2994,DENND1B
2995,DENND1C
2996,DENND2A
2997,DENND2D
2998,DENND3
2999,DENND4A
3000,DENND4B
3001,DENND4C
3002,DENND5A
3003,DENND5B
3004,DENR
3005,DEPDC1
3006,DEPDC1B
3007,DEPDC4
3008,DEPDC5
3009,DEPDC7
3010,DEPTOR
3011,DERA
3012,DERL1
3013,DERL2
3014,DES
3015,DET1
3016,DEXI
3017,DFFA
3018,DFFB
3019,DGAT1
3020,DGAT2
3021,DGCR2
3022,DGCR6L
3023,DGCR8
3024,DGKA
3025,DGKB
3026,DGKD
3027,DGKE
3028,DGKG
3029,DGKH
3030,DGKI
3031,DGKQ
3032,DGKZ
3033,DGUOK
3034,DHCR24
3035,DHCR7
3036,DHDDS
3037,DHDH
3038,DHH
3039,DHODH
3040,DHPS
3041,DHRS1
3042,DHRS12
3043,DHRS13
3044,DHRS2
3045,DHRS3
3046,DHRS7
3047,DHRS7B
3048,DHRS7C
3049,DHRS9
3050,DHRSX
3051,DHTKD1
3052,DHX15
3053,DHX16
3054,DHX29
3055,DHX30
3056,DHX32
3057,DHX34
3058,DHX35
3059,DHX36
3060,DHX37
3061,DHX38
3062,DHX40
3063,DHX57
3064,DHX58
3065,DHX8
3066,DHX9
3067,DIAPH1
3068,DIAPH2
3069,DIAPH3
3070,DICER1
3071,DIDO1
3072,DIMT1
3073,DIO1
3074,DIO3
3075,DIP2A
3076,DIP2B
3077,DIP2C
3078,DIRAS1
3079,DIRAS2
3080,DIRAS3
3081,DIS3
3082,DIS3L
3083,DIS3L2
3084,DISC1
3085,DISP1
3086,DISP2
3087,DIXDC1
3088,DKC1
3089,DKK1
3090,DKK2
3091,DKK3
3092,DKK4
3093,DKKL1
3094,DLAT
3095,DLC1
3096,DLD
3097,DLEC1
3098,DLEU7
3099,DLG1
3100,DLG2
3101,DLG3
3102,DLG4
3103,DLG5
3104,DLGAP1
3105,DLGAP2
3106,DLGAP3
3107,DLGAP4
3108,DLGAP5
3109,DLK1
3110,DLK2
3111,DLL1
3112,DLL3
3113,DLL4
3114,DLST
3115,DLX1
3116,DLX2
3117,DLX3
3118,DLX4
3119,DLX5
3120,DLX6
3121,DMAP1
3122,DMBT1
3123,DMBX1
3124,DMC1
3125,DMD
3126,DMGDH
3127,DMKN
3128,DMP1
3129,DMPK
3130,DMRT1
3131,DMRT2
3132,DMRT3
3133,DMRTA1
3134,DMRTA2
3135,DMRTB1
3136,DMRTC2
3137,DMTF1
3138,DMWD
3139,DMXL1
3140,DMXL2
3141,DNA2
3142,DNAAF1
3143,DNAAF2
3144,DNAH1
3145,DNAH10
3146,DNAH11
3147,DNAH12
3148,DNAH14
3149,DNAH2
3150,DNAH3
3151,DNAH5
3152,DNAH6
3153,DNAH7
3154,DNAH8
3155,DNAH9
3156,DNAI1
3157,DNAI2
3158,DNAJA1
3159,DNAJA2
3160,DNAJA3
3161,DNAJA4
3162,DNAJB1
3163,DNAJB11
3164,DNAJB12
3165,DNAJB13
3166,DNAJB14
3167,DNAJB2
3168,DNAJB5
3169,DNAJB6
3170,DNAJB7
3171,DNAJB8
3172,DNAJB9
3173,DNAJC1
3174,DNAJC10
3175,DNAJC11
3176,DNAJC12
3177,DNAJC13
3178,DNAJC15
3179,DNAJC16
3180,DNAJC17
3181,DNAJC18
3182,DNAJC19
3183,DNAJC2
3184,DNAJC22
3185,DNAJC24
3186,DNAJC27
3187,DNAJC28
3188,DNAJC3
3189,DNAJC30
3190,DNAJC4
3191,DNAJC5
3192,DNAJC5B
3193,DNAJC5G
3194,DNAJC6
3195,DNAJC7
3196,DNAJC8
3197,DNAL1
3198,DNALI1
3199,DNASE1
3200,DNASE1L1
3201,DNASE1L2
3202,DNASE1L3
3203,DNASE2
3204,DNASE2B
3205,DND1
3206,DNER
3207,DNHD1
3208,DNM1
3209,DNM1L
3210,DNM2
3211,DNM3
3212,DNMBP
3213,DNMT1
3214,DNMT3A
3215,DNMT3B
3216,DNMT3L
3217,DNPEP
3218,DNTT
3219,DNTTIP1
3220,DNTTIP2
3221,DOC2A
3222,DOCK1
3223,DOCK10
3224,DOCK11
3225,DOCK2
3226,DOCK3
3227,DOCK4
3228,DOCK5
3229,DOCK6
3230,DOCK7
3231,DOCK8
3232,DOCK9
3233,DOHH
3234,DOK1
3235,DOK2
3236,DOK3
3237,DOK4
3238,DOK5
3239,DOK6
3240,DOK7
3241,DOLK
3242,DOLPP1
3243,DONSON
3244,DOT1L
3245,DPAGT1
3246,DPCD
3247,DPEP1
3248,DPEP2
3249,DPEP3
3250,DPF2
3251,DPF3
3252,DPH2
3253,DPH3
3254,DPH5
3255,DPM1
3256,DPM2
3257,DPM3
3258,DPP10
3259,DPP3
3260,DPP4
3261,DPP6
3262,DPP7
3263,DPP8
3264,DPP9
3265,DPPA2
